,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
168,141.98.168.106,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
169,e580dd04cbe2407ac7ab06d148297231cffbb8f8f986ce1e152383970927bb71,file,0,0,0,0,undetected,2,No,,,,0,0
170,103.35.190.215,ip_address,0,0,0,0,undetected,9,No,United States,New Jersey,Secaucus,40.7876,-74.06
171,c2f1c765b03b4ae0c08455c2b5e917ba8564ad945c3580a1e622169aad67807a,file,0,0,0,0,undetected,3,No,,,,0,0
172,3f4b5b22b53f2fdeb7a82c94ac4d846f1e4ac0e9d055020f2f063598025b4674,file,0,0,0,0,undetected,2,No,,,,0,0
173,lexis-nexis.site,domain,0,0,0,0,undetected,2,No,,,,0,0
174,7zip.sbs,domain,0,0,0,0,undetected,2,No,,,,0,0
175,0c8d22d58a747ceccad56317b9c0afe58fe4b9f3c2138134e978e43a5f5ac390,file,0,0,0,0,undetected,2,No,,,,0,0
176,7zip1024.live,domain,0,0,0,0,undetected,2,No,,,,0,0
177,airtables.net,domain,0,0,0,0,undetected,3,No,,,,0,0
178,172.208.117.89,ip_address,0,0,0,0,undetected,2,No,United States,Virginia,Boydton,36.677696,-78.37471
179,aadf323d8052da80c761ab9d05717603804405ee33e624926009a30d857d6d1a,file,0,0,0,0,undetected,3,No,,,,0,0
180,27567140d447dc662a178989be84d50c40233d6958251c02a02c097f6650024d,file,0,0,0,0,undetected,2,No,,,,0,0
181,138.124.180.85,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
182,c8d9270a38a2e6e0659b6b9aab7543add0d1bc521afb51f7dcf68c7426a8d57e,file,0,0,0,0,undetected,2,No,,,,0,0
183,6053d67835d2925c52263bdb9e4d7475e1015ea9cc4c8f994cfa7e0dbdb7e27f,file,0,0,0,0,undetected,2,No,,,,0,0
184,1c6c79b07e45630debe31362e4c89ffab3560c4712470f7af891bb31539d153a,file,0,0,0,0,undetected,2,No,,,,0,0
185,as4na.com,domain,0,0,0,0,undetected,2,No,,,,0,0
186,e9010ab2a031125f12225d8b1f19ac65bc03b87332dc5caa35028a577b9ca0fe,file,0,0,0,0,undetected,2,No,,,,0,0
187,5.252.176.143,ip_address,0,0,0,0,undetected,2,No,Russia,Moscow,Moscow,55.7487,37.6187
188,50cbf5b9ce69a5c9f9adaf59bf53f4f0609afcba36826e2fa88ca6cedbc06e7a,file,0,0,0,0,undetected,2,No,,,,0,0
189,1d17937f2141570de62b437ff6bf09b1b58cfdb13ff02ed6592e077e2d368252,file,0,0,0,0,undetected,5,No,,,,0,0
190,7zip-archiver.shop,domain,0,0,0,0,undetected,2,No,,,,0,0
191,da43703c733a1b0af183fdb61877b5c15651c21ffcc3a49c6addc83d76c10329,file,0,0,0,0,undetected,2,No,,,,0,0
192,meet-goo.org,domain,0,0,0,0,undetected,10,No,,,,0,0
193,184a400fe334027ff287ad0cf83c165fdf4605507c83ec054fb2b544f877163c,file,0,0,0,0,undetected,5,No,,,,0,0
194,58cb66268b58d7ca77fb5f5df668ffa76a23854a6267914fc3973dbf92394612,file,0,0,0,0,undetected,2,No,,,,0,0
195,newsconcur2024.world,domain,0,0,0,0,undetected,2,No,,,,0,0
196,191a8766da98b1f992072045905cf82c771d8cb9f697d08873686778dc70c7f6,file,0,0,0,0,undetected,3,No,,,,0,0
197,103.113.70.142,ip_address,0,0,0,0,undetected,12,No,United States,New Jersey,Secaucus,40.7876,-74.06
